TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3386,0,107,117,8,117,360,5,26,6
1,0,4061,1,11,40,2,0,440,21,108
2,376,54,458,733,311,306,660,354,561,364
3,316,52,495,848,301,342,672,331,632,362
4,39,175,253,458,517,135,276,884,601,734
5,417,13,413,670,282,315,676,226,464,319
6,514,17,441,806,237,378,800,208,476,260
7,10,751,148,243,454,75,120,1292,462,846
8,173,38,394,627,453,207,451,472,690,558
9,43,368,162,309,521,83,181,1160,538,823
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
k,200,,,,,,,,,
alpha/gamma,1,,,,,,,,,
Hit Rate Avg,0.315214,,,,,,,,,
Hit Rate STD,0.00515431,,,,,,,,,
Precision Avg,0.281733,,,,,,,,,
Precision STD,0.0037283,,,,,,,,,
Recall Avg,0.306476,,,,,,,,,
Recall STD,0.0029123,,,,,,,,,
F1 Score Avg,0.293582,,,,,,,,,
F1 Score STD,0.00330164,,,,,,,,,
Default Process Time Avg,150889,,,,,,,,,
Default Process Time STD,43040.7,,,,,,,,,
KNN Total Time Avg,16800.2,,,,,,,,,
KNN Total Time STD,0.4,,,,,,,,,
KNN Per Image Time Avg,2,,,,,,,,,
KNN Per Image Time STD,0,,,,,,,,,
Preprocess Dimension Time Avg,4478.8,,,,,,,,,
Preprocess Dimension Time STD,998.981,,,,,,,,,
TC Time Avg,35.4,,,,,,,,,
TC Time STD,2.05913,,,,,,,,,
----,Confusion,----,,,,,,,,
Actual\Predicted,0,1,2,3,4,5,6,7,8,9
0,3383,0,93,113,8,114,385,4,26,6
1,0,4070,0,9,31,2,1,448,21,102
2,371,54,419,770,295,286,663,362,599,358
3,311,54,426,881,281,296,725,330,675,372
4,41,173,228,467,483,114,280,925,644,717
5,420,13,380,679,266,284,701,239,495,318
6,513,18,397,818,220,354,826,210,525,256
7,11,759,134,248,421,56,128,1334,473,837
8,173,39,365,650,434,175,446,487,733,561
9,41,377,151,314,476,65,178,1196,564,826
----,-----,----,,,,,,,,
----,-----,----,,,,,,,,
